row_key,date,reactor_id,reactor_type,y_biogas_STP,ml_error_score,ml_error_q
2024-08-19|R4-FIXED DOME|1430.445205,2024-08-19,R4-FIXED DOME,FIXED_DOME,1430.445205479452,545.2334393831935,0.9336823734729494
2024-07-02|R3-FIXED DOME|253.336683,2024-07-02,R3-FIXED DOME,FIXED_DOME,253.33668341708545,537.2806173563334,0.9319371727748691
2024-07-31|R4-FIXED DOME|682.5,2024-07-31,R4-FIXED DOME,FIXED_DOME,682.4999999999999,535.0002967732246,0.9301919720767888
2024-08-12|R4-FIXED DOME|1523.960838,2024-08-12,R4-FIXED DOME,FIXED_DOME,1523.9608381999312,531.9890371131689,0.9284467713787086
2024-10-15|R1-FLEX|1173.696682,2024-10-15,R1-FLEX,FLEX,1173.696682464455,526.1978221771552,0.9267015706806283
2024-04-22|R2-FLEX|0.0,2024-04-22,R2-FLEX,FLEX,0.0,524.5934948914709,0.924956369982548
2024-06-24|R3-FIXED DOME|1513.023336,2024-06-24,R3-FIXED DOME,FIXED_DOME,1513.0233356211395,504.12786768766637,0.9232111692844677
2024-07-03|R4-FIXED DOME|610.730074,2024-07-03,R4-FIXED DOME,FIXED_DOME,610.73007367716,496.16095672511403,0.9214659685863874
2024-07-01|R3-FIXED DOME|1437.626194,2024-07-01,R3-FIXED DOME,FIXED_DOME,1437.6261937244203,495.7423859171541,0.9197207678883071
2024-05-16|R1-FLEX|786.423529,2024-05-16,R1-FLEX,FLEX,786.4235294117647,487.33920698628395,0.9179755671902269
2024-09-16|R2-FLEX|944.0,2024-09-16,R2-FLEX,FLEX,944.0,481.10613802261025,0.9162303664921466
2024-05-06|R1-FLEX|947.009569,2024-05-06,R1-FLEX,FLEX,947.0095693779904,479.9332499864218,0.9144851657940664
2024-06-17|R3-FIXED DOME|1486.48731,2024-06-17,R3-FIXED DOME,FIXED_DOME,1486.48730964467,477.12532513707623,0.912739965095986
2024-04-23|R4-FIXED DOME|79.53252,2024-04-23,R4-FIXED DOME,FIXED_DOME,79.53252032520325,474.92136025681725,0.9109947643979057
2024-10-07|R3-FIXED DOME|1463.191489,2024-10-07,R3-FIXED DOME,FIXED_DOME,1463.191489361702,468.68821460635576,0.9092495636998255
2024-07-22|R3-FIXED DOME|1471.728395,2024-07-22,R3-FIXED DOME,FIXED_DOME,1471.7283950617282,457.8340640025192,0.9075043630017452
2024-08-05|R3-FIXED DOME|1343.875535,2024-08-05,R3-FIXED DOME,FIXED_DOME,1343.8755350675008,449.38640525867606,0.9057591623036649
2024-05-08|R2-FLEX|0.0,2024-05-08,R2-FLEX,FLEX,0.0,444.8956309955379,0.9040139616055847
2024-08-12|R3-FIXED DOME|1370.158021,2024-08-12,R3-FIXED DOME,FIXED_DOME,1370.1580212985227,444.0749285663136,0.9022687609075044
2024-07-27|R1-FLEX|91.616949,2024-07-27,R1-FLEX,FLEX,91.61694915254238,442.13485057056675,0.900523560209424
2024-08-01|R4-FIXED DOME|772.923656,2024-08-01,R4-FIXED DOME,FIXED_DOME,772.9236562820951,430.6931863585726,0.8987783595113438
2024-09-03|R2-FLEX|911.874356,2024-09-03,R2-FLEX,FLEX,911.8743563336766,428.8158117005862,0.8970331588132635
2024-07-15|R3-FIXED DOME|1438.10037,2024-07-15,R3-FIXED DOME,FIXED_DOME,1438.1003704951163,426.5449368215647,0.8952879581151832
2024-10-05|R1-FLEX|158.528022,2024-10-05,R1-FLEX,FLEX,158.52802160702228,424.95248246005724,0.893542757417103
2024-05-25|R1-FLEX|230.561911,2024-05-25,R1-FLEX,FLEX,230.56191117092868,424.45207051104876,0.8917975567190227
2024-08-12|R2-FLEX|939.263485,2024-08-12,R2-FLEX,FLEX,939.2634854771784,422.24196556811444,0.8900523560209425
